title,url
Tiny JITs for a Faster FFI,https://railsatscale.com/2025-02-12-tiny-jits-for-a-faster-ffi/
Leaking the email of any YouTube user for $10k,https://brutecat.com/articles/leaking-youtube-emails
Thinkserver: My web-based coding environment,https://checkmyworking.com/posts/2025/02/thinkserver-my-web-based-coding-environment/
The average CPU performance of PCs and notebooks fell for the first time,https://www.cpubenchmark.net/year-on-year.html
A drill bit that can also drive screws,https://www.core77.com/posts/135333/Industrial-Designer-Invents-Drill-Bit-that-Can-Also-Drive-Screws
"Large magma bodies found beneath dormant volcanoes, surprising scientists",https://phys.org/news/2025-01-large-magma-bodies-beneath-dormant.html
Smuggling arbitrary data through an emoji,https://paulbutler.org/2025/smuggling-arbitrary-data-through-an-emoji/
How to professionally say (2022),https://github.com/AkashRajpurohit/howtoprofessionallysay
The Prophet of Parking: A eulogy for the great Donald Shoup,https://www.worksinprogress.news/p/the-prophet-of-parking
US and UK refuse to sign AI safety declaration at summit,https://arstechnica.com/ai/2025/02/us-and-uk-refuse-to-sign-ai-safety-declaration-at-summit/
5G networks meet consumer needs as mobile data growth slows,https://spectrum.ieee.org/5g-bandwidth
Is NixOS truly reproducible?,https://luj.fr/blog/is-nixos-truly-reproducible.html
Record-breaking neutrino is most energetic ever detected,https://www.nature.com/articles/d41586-025-00444-1
Why cryptography is not based on NP-complete problems,https://blintzbase.com/posts/cryptography-is-not-based-on-np-hard-problems/
Show HN: Game Bub – open-source FPGA retro emulation handheld,https://eli.lipsitz.net/posts/introducing-gamebub/
How Nissan and Honda's $60B merger talks collapsed,https://www.reuters.com/markets/deals/inside-collapse-nissan-hondas-60-billion-mega-deal-2025-02-12/
NESFab – A new programming language for creating NES games,https://pubby.games/nesfab.html
Imapsync,https://imapsync.lamiral.info/
PgAssistant: OSS tool to help devs understand and optimize PG performance,https://github.com/nexsol-technologies/pgassistant
Ask HN: Former employees' RSUs at risk after startup's IPO,item?id=43026774
Show HN: I made my own OS from scratch because I was bored,https://jotalea.com.ar/misc/jotaleaos/
Ask HN: What's the best implementation of Conway's Game of Life?,item?id=43023875
What happens to your online accounts when you die?,https://digitalseams.com/blog/what-happens-to-your-online-accounts-when-you-die
Vanishing Culture: Punch Card Knitting,https://blog.archive.org/2025/02/12/vanishing-culture-punch-card-knitting/
Show HN: yknotify – Notify when YubiKey needs touch on macOS,https://github.com/noperator/yknotify
Automated Capability Discovery via Foundation Model Self-Exploration,https://arxiv.org/abs/2502.07577
Visualizing data is an art,https://perthirtysix.com/visualizing-data-is-an-art
YouTube's New Hue,https://design.google/library/youtube-new-red-color
League of Legends data scraping the hard and tedious way for fun,https://maknee.github.io/blog/2025/League-Data-Scraping/
DeaDBeeF: The Ultimate Music Player,https://deadbeef.sourceforge.io/
